date,title,url,source,tone,tone_label
2017-03-01,Amsterdam council debate on data center energy demand,,NRC Handelsblad,-3.5,negative
2018-06-15,Greenpeace report: Amsterdam data centers coal-powered,,Greenpeace NL,-3.5,negative
2018-09-10,AMS-IX publishes energy transparency report,,AMS-IX,0.0,neutral
2019-01-15,Amsterdam announces moratorium on new hyperscale data centers,,NRC Handelsblad,-3.5,negative
2019-02-20,Equinix responds to Amsterdam moratorium,,Equinix PR,0.0,neutral
2019-04-08,Amsterdam data center moratorium extended,,Het Parool,-3.5,negative
2019-07-22,Community protest: data centers vs housing in Zuidoost,,Parool,-3.5,negative
2019-11-05,Municipality releases sustainability criteria for data centers,,Amsterdam.nl,0.0,neutral
2020-03-15,Data center sector negotiates with Amsterdam municipality,,FD,0.0,neutral
2020-09-01,Progress report: moratorium conditions,,Municipality of Amsterdam,0.0,neutral
2021-02-10,Energy grid operator warns of data center capacity issues,,TenneT,-3.5,negative
2021-06-14,Amsterdam loosens moratorium for green-certified operators,,NRC Handelsblad,2.5,positive
2022-01-20,Moratorium formally lifted under differentiated framework,,Municipality of Amsterdam,0.0,neutral
2022-05-10,New hyperscale campus approved under 2022 framework,,Datacenter Dynamics,2.5,positive
2023-03-01,Continued community concerns: water and energy use,,NRC Handelsblad,-3.5,negative
2024-04-15,Amsterdam updates zoning rules for data centers,,Planning Department,0.0,neutral
